Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Descripción completa,Unidades,Latitud,Longitud,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,fecha_recoleccion
"Apartamento en Venta en Pinares, Pereira",https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-pereira/192719422,192719422,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4fc5d9c33fc_infocdn__gr10398120250805095343jpg.jpg,[],$ 480.000.000,4 Habs. 3 Baños 140 m²,"Apartamento en venta en pinares, pereira","Apartamento enPereira, Risaralda",Megapolis Bienes Raices,Llamar,"Código para WhatsApp: ***Presentamos esta mega propiedad tipo apartamento para la venta en el exclusivo sector de Pinares en la Ciudad de Pereira, en conjunto cerrado y con la ventaja de la ubicación más privilegiada de la ciudad. Cerca de centros médicos, comerciales, educativos, culturales, deportivos y de interés general. Totalmente remodelado, y cuenta con Sala-comedor, cocina integral, 4 habitaciones incluyendo la del servicio, zona de ropas, 3 baños, 2 balcones amplios esquineros, piso en cerámica, un parqueadero cubierto. El conjunto cuenta con 3 torres que consta de 4 pisos cada una, monitoreo de seguridad con cámaras externas e internas, rondero y portero las 24 horas, zonas comunes (cancha de basquetbol, juegos de niños y salón de reuniones).",[],4.8045506,-75.6899925,,,,,,,,,,,,,,2026-08-03
"CORMORÁN SKY HOME, Apartamentos en Venta en Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/cormoran-sky-home-apartamentos-en-venta-en-pereira/6917461,6917461,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4c1262024b1_infocdn__myc9jyv8xde7vz1pgxj8m4eofrxzpd6xwsq8q664jpg.jpg,[],Desde $ 416.314.251,1 Hab 2 Baños 53.1 m²,"Cormorán sky home, apartamentos en venta en pereira","Apartamento enPereira, Risaralda",PROYECTOS URBANOS 3L,Llamar,"Cormorán es un exclusivo conjunto residencial ubicado sobre la Avenida de las Américas, en el privilegiado sector de Corales, Pereira. Los apartamentos se entregan con acabados de alto nivel, amplios balcones y vistas al paisaje cultural cafetero hacen de este lugar un verdadero placer para vivir cada día. Aquí, despertar, compartir y disfrutar los atardeceres será parte de tu nueva rutina.",[],4.8007423,-75.7489623,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Nuevos,¡Pregúntale!,40% de inicial - 60% contraentrega,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-03
"Casa Campestre en  Venta en Tribunas corcega, Pereira",https://www.fincaraiz.com.co/casa-campestre-en-venta-en-tribunas-corcega-pereira/191264829,191264829,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.66cd45426e0d1_infocdn__ggxhpfv5wk5x2qcqpnf6197u3v5ncre5hpvpvejtjpg.jpg,[],$ 2.000.000.000,3 Habs. 4 Baños 1049 m²,"Casa campestre en  venta en tribunas corcega, pereira","Casa Campestre enPereira, Risaralda",OV Servicios Inmobiliarios,Llamar,"En venta, una espectacular casa campestre para estrenar, ubicada en una de las zonas más estratégicas del Eje Cafetero. Esta impresionante propiedad cuenta con un lote de 1,049 m² y un área construida de 418 m², ofreciendo un estilo de vida de lujo y confort en medio de la naturaleza.Al ingresar, serás recibido por una majestuosa puerta de madera y un elegante piso laminado estilo belga. La gran sala cuenta con una chimenea funcional y un balcón con vistas impresionantes a la reserva Barbas Bremen. La cocina, de diseño abierto y lujo, es el corazón del hogar, perfecta para momentos especiales. La propiedad incluye un salón de cine, salón social auxiliar, baño social, zona de ropas independiente, y un extraordinario parrillero gaucho en acero inoxidable.En el segundo piso, encontrarás dos habitaciones auxiliares, cada una con su clóset y baño privado. La habitación principal, amplia y luminosa, cuenta con vestier y un baño con acabados de lujo. Los espacios son amplios y bien iluminados, reflejando una construcción moderna y funcional.La casa también cuenta con parqueadero privado para dos vehículos y espacio descubierto para aproximadamente cinco vehículos más. Además, incluye un salón que puede ser utilizado como taller o gimnasio.Ubicada en un conjunto residencial seguro, rodeado de fauna y flora, y con excelentes vías internas. A tan solo 10 minutos de Filandia, 20 minutos de Pereira y 25 minutos de Armenia.",[],4.7247393,-75.6306,,,,,,,,,,,,,,2026-08-03
Apartamento en Venta en Pereira,https://www.fincaraiz.com.co/apartamento-en-venta-en-pereira/192292191,192292191,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4fc5744c771_infocdn__gr103983720250512082314jpg.jpg,[],$ 365.000.000,3 Habs. 3 Baños 134 m²,Apartamento en venta en pereira,"Apartamento enPereira, Risaralda",Megapolis Bienes Raices,Llamar,"Código para WhatsApp: ***MEGAPOLIS BIENES RAICES presenta esta propiedad tipo apartamento ubicado en la avenida 30 de Agosto, siendo esta una característica muy estratégica por la cercanía a lugares de primera necesidad, como supermercados, centros comerciales, aeropuerto, salidas y entradas a la ciudad, comercio y entretenimiento en general. Consta de sala-comedor cocina integral con barra americana, zona de ropas, baño de servicio, dos habitaciones, la principal con baño y closet, una habitación auxiliar con closet y baño compartido, estudio, baño social y un parqueadero cubierto.",[],4.8109575,-75.7335457,,,,,,,,,,,,,,2026-08-03
"FIKA TOWNHOUSE, Casas en Venta en Cerritos, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/fika-townhouse-casas-en-venta-en-cerritos-pereira/15018510,15018510,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4c034ab2dc2_infocdn__129t2vbyth3wngbzbutnwfeox3gtgomg9olas3w7png.png,[],Desde $ 813.941.300,3 Habs. 3 Baños 102.5 m²,"Fika townhouse, casas en venta en cerritos, pereira","Casa enPereira, Risaralda",PROYECTOS URBANOS 3L,Llamar,"Un lugar para bajar el ritmo, respirar profundo y disfrutar cada momento. Fika es un conjunto cerrado de casas completamente terminadas, ubicado en un entorno natural único sobre la vía Cerritos - Pereira, justo al lado de Cerritos Mall. Con increíbles amenities pensadas para disfrutar juntos, Fika es ese lugar donde la calma y la conexión familiar se vuelven parte de la rutina.",[],4.8137081,-75.8025521,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,40% de inicial - 60% contraentrega,¡Pregúntale!,¡Pregúntale!,2,¡Pregúntale!,¡Pregúntale!,6,2026-08-03
Casa Campestre en Venta en Pereira,https://www.fincaraiz.com.co/casa-campestre-en-venta-en-pereira/193289625,193289625,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4fc5c393400_infocdn__gr103985220250918112042jpg.jpg,[],$ 1.900.000.000,4 Habs. 5 Baños 520 m²,Casa campestre en venta en pereira,"Casa Campestre enPereira, Risaralda",Megapolis Bienes Raices,Llamar,"Código para WhatsApp: ***UBICACIÓN: Condominio sobre la autopista del café, casa en el interior del conjunto a 300 mts de la vía principal. A 15 kms de Pereira, 20 kms de Armenia, 15 kms de Filandia,22 Kms de Salento.Dos años de construida, puerta eléctrica, bosque nativo, un solo vecino cercano, 3 espejos de agua, Jacuzzi, 7 jardines, prados y cerramiento en malla y singla.Construcción moderna de dos pisos con acabados de alta calidad, pared emblemática con líneas de luz indirecta, luces led, instalaciones listas para domótica, salón BBQ integrado al prado y a los parqueaderos bajo techo, colindante con la cocina y un jardín. Terraza externa con vista al bosque y chimenea, amplia zona social con terraza longitudinal, jacuzzi, salón de máquinas, vista al bosque, cocina moderna con líneas de luz indirecta en el cielo y en la barra para 5 puestos integrada a la sala social, zona de lavandería y garaje cubierto para 3 vehículos grandes y 5 más en parqueadero privado.En el segundo piso encontramos, tres alcobas cada una con baño privado; la principal con amplio Vestier y terraza, 3 balcones con vista a todo el entorno paisajístico, sala en L, una cuarta alcoba con biblioteca, una alcoba auxiliar con baño privado, corredor interior con vista al bosque y a la zona social del primer piso . Amplia sala de televisión con salida a una terraza y vista al bosque.",[],4.7095115,-75.6094196,,,,,,,,,,,,,,2026-08-03
"Casa en Venta en Cerritos, Pereira",https://www.fincaraiz.com.co/casa-en-venta-en-cerritos-pereira/194024017,194024017,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a62261f376ce_infocdn__ywimrz7k2cnq3svibuwhzzmc9flthl0hbxvwjkzrjpg.jpg,[],$ 1.100.000.000,3 Habs. 3 Baños 210 m²,"Casa en venta en cerritos, pereira","Casa enPereira, Risaralda",SOCIEDAD IRMA LUCIA GOMEZ INMOBILIARIA SAS,Llamar,"Descubra la casa de sus sueños en este exclusivo conjunto cerrado, donde la comodidad y el estilo se fusionan. Esta magnífica propiedad cuenta con tres amplias habitaciones y tres baños completos, ofreciendo el espacio perfecto para su familia. Disfrute de una luminosa sala comedor, ideal para reuniones y momentos especiales, un estudio versátil que se adapta a sus necesidades, una moderna cocina y un práctico patio interno.El conjunto residencial eleva su calidad de vida con excelentes zonas sociales diseñadas para el disfrute de todos. Relájese en la espectacular piscina, manténgase activo en el gimnasio completamente equipado, impulse su productividad en el espacio de coworking, diviértase en la cancha deportiva y vea a sus hijos disfrutar en los juegos infantiles. Además, el elegante salón social es perfecto para celebrar eventos y crear recuerdos inolvidables. Una oportunidad única para vivir con lujo y tranquilidad.",[],4.8079467,-75.777412,,,,,,,,,,,,,,2026-08-03
"Apartamento en Venta en Pinares alto, Pereira",https://www.fincaraiz.com.co/apartamento-en-venta-en-pinares-alto-pereira/193212559,193212559,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a3c4d911de34_infocdn__94e5fb40-bdb6-477c-99f5-4817e34ebf30.jpeg,[],$ 2.100.000.000,3 Habs. 4 Baños 420 m²,"Apartamento en venta en pinares alto, pereira","Apartamento enPereira, Risaralda",ENTORNO SOLUCIONES INMOBILIARIAS INTEGRALES,Llamar,"Penthouse para la venta, ubicado en Pinares Pereira, con un área de construida de cuatrocientos veinte metros cuadrados (420) mts² y un área privada de trescientos veinte metros cuadrados (320) mts². La primer (1) planta consta de tres (3) alcobas con baño privado y balcón, principal con vestier, closet en madera, sala con balcón, comedor, cocina integral abierta, baño social, patio de ropas y alcoba de servicio con baño. La segunda (2) planta cuenta con una sala de estar de ciento treinta metros cuadrados (130) mts² más terraza de sesenta metros cuadrados (60) mts², una (1) alcoba con baño, vestier, jacuzzi y doble lavamanos. El apartamento cuenta pisos laminados y en cerámica, con parqueadero cubierto para cuatro (4) automóviles y tres (3) depósitos. El edificio cuenta con portería, ascensor, juegos infantiles, salón social y piscina.  Visítanos en nuestra página web: https://entornoinmobiliaria.com/es/",[],4.79951031519,-75.683927522404,,,,,,,,,,,,,,2026-08-03
"CAMELIA, Apartamento en Venta en La julia, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/camelia-apartamentos-en-venta-en-la-julia-pereira/15018199,15018199,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a63e7fbe5ac6_infocdn__r4kzntpgxgdzqf3tqnr73li6hdl4if5jhhfzkjt6png.png,[],Desde $ 241.000.000,2 Habs. 1 Baño 53 m²,"Camelia, apartamento en venta en la julia, pereira","Apartamento enPereira, Risaralda",AMARILO,Llamar,"En Pereira nace un proyecto que transformará la manera de vivir: Hacienda Condina, un desarrollo que integra la naturaleza, la modernidad y la conexión con lo mejor de la ciudad.Con amplias zonas verdes, vías planificadas y espacios creados para el bienestar, Hacienda Condina se convierte en el escenario perfecto para quienes buscan un entorno tranquilo, seguro y con proyección de futuro.Su ubicación privilegiada cerca del Aeropuerto Internacional Matecaña, de los Malls Palo de Agua y Batará Plaza, y de los principales corredores viales de la ciudad, hacen de este proyecto una oportunidad única para vivir o invertir.",[],4.8085625,-75.6815469,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,2028,3,2026-08-03
"RIVIERA VERDE ETAPA 2, Casa en Venta en Galicia, Pereira",https://www.fincaraiz.com.co/proyectos-vivienda/riviera-verde-etapa-2-casas-en-venta-en-galicia-pereira/10122326,10122326,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.66db16263e8b5_infocdn__zxc8vhem8jhxk7iaeyoknhkqei3n8pwshp6ubeuujpg.jpg,[],Desde $ 658.700.000,3 Habs. 3 Baños 83.27 m²,"Riviera verde etapa 2, casa en venta en galicia, pereira","Casa enPereira, Risaralda",ASUL CONSTRUCTORA,Llamar,"Riviera Verde, sigue tu naturaleza y encuentra un proyecto  de casas ubicadas en el sector de mayor valorización en Pereira, Cerritos sector Galicia. Un lugar rodeado de naturaleza y un grandioso guadual. Precios de lanzamiento!!!",[],4.80198210000000000000,-75.80364820000000000000,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,2026-08-03
