Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,Descripción completa,Unidades,Latitud,Longitud,fecha_recoleccion
"TURPIALES DE CANTOVAL, Apartamentos en Venta en Lagos de Torca, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/turpiales-de-cantoval-apartamentos-en-venta-en-lagos-de-torca-bogota/7952697,7952697,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2023/3/3/4140454_668_2.jpg,[],Desde $ 262.635.000,3 Habs. 1 Baño 45.05 m²,"Turpiales de cantoval, apartamentos en venta en lagos de torca, bogotá","Apartamento enBogotá, Bogotá, d.c.",COMPENSAR,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"Turpiales de Cantoval es un proyecto de interés social que se construirá en el plan parcial lagos de torca, la mega apuesta arquitectónica al norte de Bogotá, con un concepto que evoluciona el desarrollo urbanístico de nuestra ciudad, turpiales esta distribuido en 5 torres de 12 y 13 pisos con un área de 45mts, único proyecto vis en la zona que se entrega con acabados, listo para habitar.",[],4.787036,-74.0282537,2026-08-03
"MAUI 68, Apartamentos en Venta en Venecia, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/maui-68-apartamentos-en-venta-en-venecia-bogota/10471287,10471287,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/3f523e5c-b635-4f6d-8cc1-2fabf4d15301/photos/3f523e5c-b635-4f6d-8cc1-2fabf4d15301_10_False_e05139f7-2d5a-4f07-9974-fbb0b37d031c.jpg,[],Desde $ 310.000.000,2 Habs. 2 Baños 42.66 m²,"Maui 68, apartamentos en venta en venecia, bogotá","Apartamento enBogotá, Bogotá, d.c.",COMPENSAR,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,20% cuota inicial y 80% financiación,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"EN CONSTRUCCIÓN!! Proyecto de Vivienda de Renovación Urbana que NO APLICA SUBSIDIO y se consolida en una zona privilegiada sobre la Avenida 68 en el barrio Venecia, al Sur de Bogotá. Pensado para quienes buscan calidad de vida, ofrece amplios espacios funcionales y zonas comunes pensadas para toda la familia, incluyendo tus peluditos. Viviendas de dos habitaciones y opción de dos baños en un diseño funcional con ACABADOS BÁSICOS. - ENTREGAS DESDE 2027 ¡¡NO SE RECIBE SUBSIDIO!!",[],4.59620363999903000000,-74.13779049163200000000,2026-08-03
"NATIVA - PARQUE DE LAS AMERICAS, Apartamento en Venta en La florida occidental, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/nativa-parque-de-las-americas-apartamentos-en-venta-en-la-florida-occidental-bogota/10338805,10338805,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/a8e2d6ed-a382-4f13-b8d5-9ec033ea122b/photos/a8e2d6ed-a382-4f13-b8d5-9ec033ea122b_1_True_4222dffb-041d-4fd2-b9eb-f21b36fcd247.jpg,[],Desde $ 301.326.480,1 Hab 1 Baño 38.81 m²,"Nativa - parque de las americas, apartamento en venta en la florida occidental, bogotá","Apartamento enBogotá, Bogotá, d.c.",COMPENSAR,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"NATIVA es el segundo proyecto inmobiliario independiente de Parque de las Américas con viviendas de interés social y renovación urbana. Esta propuesta arquitectónica innovadora ocupa una posición privilegiada en el corazón del plan parcial de renovación urbana “Triángulo de Bavaria”, siguiendo los exitosos pasos de su predecesor, la manzana: Terra",[],4.62475780000000000000,-74.08926030000000000000,2026-08-03
"PRIMERA ESTE, Apartamento en Venta en Chapinero Alto, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/primera-este-apartamentos-en-venta-en-chapinero-alto-bogota/10119735,10119735,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69a8a7df24bda_infocdn__yhx1kikevngooix33z9pnk5wfpmbuaftfwasukjkjpg.jpg,[],Desde $ 412.000.000,1 Hab 1 Baño 34.28 m²,"Primera este, apartamento en venta en chapinero alto, bogotá","Apartamento enBogotá, Bogotá, d.c.",IC CONSTRUCTORA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,"Torre Norte de Primera Este es el nuevo capítulo de un proyecto que transforma la manera de vivir en Chapinero Alto. Con 19 pisos residenciales y zonas comunes exclusivas, esta torre ha sido diseñada para ofrecer una experiencia moderna, funcional y sofisticada, en una ubicación privilegiada de Bogotá: la Avenida Circunvalar con Calle 60 Bis. Aquí encontrarás unidades inmobiliarias de 1, 2 y 3 habitaciones, todos con acabados completos, excelente iluminación y vistas que conectan con la ciudad desde lo alto.Con un estrato proyectado de 5 y una entrega estimada para el segundo semestre de 2027*, Torre Norte ofrece unidades inmobiliarias desde $412 millones, con parqueadero incluido (excepto para tipologías de 34 y 44 m²) y un valor de administración estimado desde $8.800 por metro cuadrado. Esta etapa se encuentra actualmente en construcción y forma parte de un desarrollo de tres torres. La ubicación, el diseño y el respaldo de IC Constructora hacen de esta torre una opción sólida tanto para vivir como para invertir.La información aquí contenida tiene fines exclusivamente informativos y no constituye oferta comercial, ni compromiso contractual por parte del promotor o constructor. Las imágenes, renders, planos, recorridos virtuales, mobiliario y acabados utilizados son de referencia artística y pueden presentar modificaciones durante el desarrollo del proyecto.El valor de los inmuebles puede variar según disponibilidad, tipología, etapa del proyecto, condiciones del mercado, ajustes por inflación o decisiones normativas. Así mismo, la cuota de administración es un valor estimado que podrá cambiar según lo determine la copropiedad al momento de su conformación.La fecha de entrega estimada corresponde al segundo semestre de 2027 y está sujeta a modificaciones por causas externas o de fuerza mayor, incluyendo, pero no limitándose a: condiciones climáticas, disponibilidad de materiales, decisiones de autoridades competentes, orden público, situaciones sociales, sanitarias o logísticas que escapen al control del constructor.Todos los derechos, deberes y condiciones del proyecto se rigen conforme a lo establecido en la Ley 1480 de 2011 (Estatuto del Consumidor), la Circular Externa 004 de 2024 de la Superintendencia de Industria y Comercio y el artículo 847 del Código de Comercio.",[],4.64313205736890000000,-74.05720254655760000000,2026-08-03
"TORRES DE GALICIA, Apartamentos en Venta en Suba, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/torres-de-galicia-apartamentos-en-venta-en-suba-bogota/6792008,6792008,https://s3.amazonaws.com/imagenesprof.fincaraiz.com.co/OVFR_COL/2021/10/26/3383032_159_2.jpg,[],Desde $ 290.000.000,1 Hab 1 Baño 36.23 m²,"Torres de galicia, apartamentos en venta en suba, bogotá","Apartamento enBogotá, Bogotá, d.c.",COMPENSAR,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"Ya iniciamos construcción, proyecto de vivienda de Renovacion Urbana ubicado en el corazón de Suba, su entorno se compone de una infraestructura diversificada, entre ellos vivienda,comercio,transporte y bienestar integral. Precio fijo con acabados y no aplica subisido.. ENTREGAS EN 2027!!Amenities: 18 espacios de coworking, Golfito, BBQ, salón de juegos, Gimnasio biosaludable, sala de Tv, sala de lecturas, sala de video juegos, parque infantil, terrazas funcionales",[],4.7377467,-74.0874651,2026-08-03
"Apartamento en Venta en Fontibon, Bogotá",https://www.fincaraiz.com.co/apartamento-en-venta-en-fontibon-bogota/193821645,193821645,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a1b7e1d415dc_infocdn__18m0vcslohanehoeleezfmvwaxrkiqi4tnihxkk2jpg.jpg,[],$ 236.000.000,2 Habs. 2 Baños 43 m²,"Apartamento en venta en fontibon, bogotá","Apartamento enBogotá, Bogotá, d.c.",Predios Bogota Consultores Inmobiliarios,Llamar,,,,,,,,,,,,,,"Si estabas esperando el momento ideal para comprar vivienda, ¡es ahora! ?? Fontibón – Barrio Belén? Nuevo precio: $236.000.000? Parqueadero propio incluido✨ 43 m² construidos✔️ 2 habitaciones✔️ 2 baños✔️ Sala comedor✔️ Cocina funcional✔️ Zona de lavado independiente? Excelente ubicación, cerca de vías principales, transporte y comercio.✅ Recibimos crédito hipotecario, leasing, Caja Honor y Fondo Nacional del Ahorro.✅ Te ayudamos a gestionar tu financiación.",[],4.6805446,-74.145782,2026-08-03
"ALMA 72, Apartamentos en Venta en San felipe, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/alma-72-apartamentos-en-venta-en-san-felipe-bogota/7984025,7984025,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6929b24c29416_infocdn__zwnjva3je7r0kh8v8ve8nyoo2r8hkt3ljviquoopjpg.jpg,[],Desde $ 311.000.000,1 Hab 1 Baño 26 m²,"Alma 72, apartamentos en venta en san felipe, bogotá","Apartamento enBogotá, Bogotá, d.c.",APIROS,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,70,30,¡Pregúntale!,16,¡Pregúntale!,¡Pregúntale!,4,"Alma 72, ubicado en una de las zonas más estratégicas de Bogotá a 10 minutos caminando de la línea 1 y 2 del futuro Metro , cerca de la zona T el sector financiero por excelencia de la ciudad y de todo lo que quieres tener muy cerca. Alma 72 es la nueva tendencia de vivienda, con zonas exclusivas de entretenimiento y bienestar: Terraza BBQ, Zona de fogatas, Sauna, Jacuzzi, Gimnasio, Zona de yoga, Zona TRX, Zona de lunch, Zona de juegos, Zona de snacks, coworking y mucho más. Habilitado para rentas cortas para rentas cortas.",[],4.662551775841,-74.067690163851,2026-08-03
"SORENTTO, Apartamento en Venta en Nueva Marsella, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/sorentto-apartamentos-en-venta-en-nueva-marsella-bogota/15017712,15017712,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.68e0347695dec_infocdn__40ubnahfre0ut9g4jkawpyxxgmw5dg43hbb0an4bjpg.jpg,[],Desde $ 310.019.000,1 Hab 1 Baño 39.44 m²,"Sorentto, apartamento en venta en nueva marsella, bogotá","Apartamento enBogotá, Bogotá, d.c.",AMBIENTTI CONSTRUCTORA INMOBILIARIA,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,3,"Aptos de renovación Urbana en Bogotá, sector Nueva Marsella de 42m2 área construida, cocina y zona de lavandería independiente.  Precio Fijo, Entregas 2028, Excelente Ubicación, cerca Av. De las Américas y Av. Boyacá, Aprovecha !!! 28 meses para pagar la cuota inicia! y a sólo 2 cuadras de la Clínica de Occidente *Opción Apto. Con Acabados.",[],4.6281671,-74.1367414,2026-08-03
"Alcalá 134, Apartamento en Venta en Alcala, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/alcala-134-apartamentos-en-venta-en-alcala-bogota/10056173,10056173,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a1f59182eb0d_infocdn__dlrdpbxfootlncrxklqqh4urya15w7s32zuydgbyjpg.jpg,[],Desde $ 235.000.000,1 Hab 1 Baño 21.18 m²,"Alcalá 134, apartamento en venta en alcala, bogotá","Apartamento enBogotá, Bogotá, d.c.",HABITUS CONSTRUCCIONES,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,70% Hipotecario - 30% Cuota inicial,Entidades bancarias o recursos propios,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Entrega inmediata,3,"APARTAMENTO 2 EN 1, VIVE EN UNO Y RENTA EL OTRO, 100% acabado, de 42 M2 + 2 M2 de balcón, 2 alcobas y 2 baños o APARTAESTUDIOS VIS, APLICA SUBSIDIO CAJAS, 100% acabados, área total de 21 m2 y balcón de 1m2.",[],4.71873580000000000000,-74.05235370000000000000,2026-08-03
"ARTIÉ 84, Apartamento en Venta en La cabrera, Bogotá",https://www.fincaraiz.com.co/proyectos-vivienda/artie-84-apartamentos-en-venta-en-la-cabrera-bogota/15017586,15017586,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69a73b2fba33b_infocdn__flfbseuyhe0pauy3bi2ep27j1owd4daypqwvncxjjpg.jpg,[],Desde $ 1.095.000.000,1 Hab 1 Baño 55.2 m²,"Artié 84, apartamento en venta en la cabrera, bogotá","Apartamento enBogotá, Bogotá, d.c.",ARQUITECTURA Y CONCRETO,Llamar,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,6,"Artié84 es un proyecto que marcará un hito de Bogotá, al combinar un gran diseño arquitectónico en una entorno privilegiado donde podrán disfrutar de un estilo de vida exclusivo al alcance de la mano. Esta ubicación inmejorable les permitirá vivir una vida cosmopolita, rodeados de lo mejor que Bogotá tiene para ofrecer. Proyecto en construcción.",[],4.6638336,-74.0484052,2026-08-03
