Título,URL detalle,id_inmueble,URL imagen,Etiquetas,Precio listado,Tipología listado,Descripción breve,Ubicación listado,Publicante,Acción disponible,Descripción completa,Unidades,Latitud,Longitud,Porcentaje terminado,Porcentaje vendido,Ocupación,Desarrollador,Estado,Parqueaderos,Financiación,Formas de pago,Cuota inicial,Cantidad de pisos,Aplica subsidio,Fecha de Finalización,Estrato,fecha_recoleccion
"Casa en Venta en Santa Mónica, Medellín",https://www.fincaraiz.com.co/casa-en-venta-en-santa-monica-medellin/194059739,194059739,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6cf532ab42b_infocdn__ibuldiwt2w3261r1xq1nd4vaquerm47nx4cpazo6jpg.jpg,[],$ 400.000.000,3 Habs. 2 Baños 100 m²,"Casa en venta en santa mónica, medellín","Casa enMedellín, Antioquia",William Alejandro Posada Gil,Llamar,"Venta de amplia casa en segundo piso ubicada en el tradicional sector de Santa Mónica, La América.Cuenta con 100 m², 3 habitaciones, 2 baños, patio, cocina integral abierta, closet de linos, sala y comedor independientes, y balcón con buena iluminación natural.Estrato 3, sin garaje.Ideal para quienes buscan comodidad, espacios amplios y excelente ubicación cerca de vías principales y transporte público.Agenda tu visita y conoce esta oportunidad de vivienda en uno de los sectores más tranquilos y valorizados del occidente de Medellín.",[],6.2507376,-75.6080424,,,,,,,,,,,,,,2026-08-03
"SAMAN, Apartamentos en Venta en Ciudad del Río, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/saman-apartamentos-en-venta-en-ciudad-del-rio-medellin/10345713,10345713,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/22143443-fc63-4b6d-bb75-c0c56930a81d/photos/22143443-fc63-4b6d-bb75-c0c56930a81d_7_False_58c9c2a0-0160-4947-9eea-6dbb400232de.jpeg,[],Desde $ 640.000.000,1 Hab 2 Baños 56 m²,"Saman, apartamentos en venta en ciudad del río, medellín","Apartamento enMedellín, Antioquia",AMARILO,Llamar,"""Samán es un proyecto residencial de vivienda ubicado en Ciudad del Río, dentro del gran desarrollo urbano Jardines del Río. Este sector experimenta una emocionante transformación urbana, con una amplia gama de opciones en comercio, entretenimiento, gastronomía y cultura. Se encuentra estratégicamente ubicado cerca de importantes vías de la ciudad, como la Autopista Sur, la Avenida Regional, entre otras. En Samán, tendrás todo lo que necesitas a poca distancia de tu hogar. Además, las áreas comunes del proyecto proporcionarán un espacio de esparcimiento ideal para toda la familia.""",[],6.2225929,-75.5731185,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-03
"Apartamento en Venta en Loma del Indio, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-loma-del-indio-medellin/193955122,193955122,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a4b214017dba_infocdn__gr46031420260705094030jpg.jpg,[],$ 295.000.000,2 Habs. 1 Baño 41 m²,"Apartamento en venta en loma del indio, medellín","Apartamento enMedellín, Antioquia",Bienes en Red,Llamar,"Vendo apartamento ubicado en la Loma del Indio, perfecto para una pareja o una pequeña familia que busque un espacio acogedor y funcional.Con un área de 41.15 M2, consta de sala comedor con amplio ventanal que llena de luz y aire fresco el ambiente.  Dos habitaciones con clóset y un baño completo. Cocina semi integral con red de gas, barra americana y zona de ropas con calentador.  Pisos en cerámica.Unidad cerrada con portería 24 horas, 2 ascensores, parqueadero común; y amplias zonas de esparcimiento:  piscina, gimnasio, juegos infantiles, caminería; salón social, minimercado. Ambiente campestre, arborizado, fresco y agradable.Cerca  a la unidad podrás encontrar todo lo que necesitas en tu día a día. Centros comerciales, iglesia, supermercados, colegios y universidades, parques, zonas deportivas y recreativas y transporte público cercano.Excelente oportunidad! ¡Contáctanos hoy mismo para más información!",[],6.2272911099841,-75.561110703441,,,,,,,,,,,,,,2026-08-03
"VIGO, Apartamentos en Venta en Laureles, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/vigo-apartamentos-en-venta-en-laureles-medellin/15017490,15017490,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6830d9344d61a_infocdn__sw6y7nkvl8wvkanw0xbjx0f2qvbpsxtys6dbnqvpjpg.jpg,[],Desde $ 353.927.000,1 Hab 1 Baño 30.62 m²,"Vigo, apartamentos en venta en laureles, medellín","Apartamento enMedellín, Antioquia",SR PROYECTOS CONSTRUCTIVOS,Llamar,"Proyecto con licencia para vivienda turística ( RENTAS  CORTAS) en uno de los barrios más centrales de la ciudad de Medellín con amenidades de primera clase como Mall Comercial, Rooftop, Coworking, Zona de spa, laundry Room, recepción, entre otros.Vigo es un edificio de 15 pisos con arquitectura moderna y a la vanguardia, es un proyecto amigable con el ambiente contamos con Paneles solares y sistema de recolección de lluvias. Tenemos espacios adecuados para personas con limitaciones de movilidad.Excelente proyección de rentabilidad debido al gran auge turístico en Medellín y su ubicación",[],6.2439018,-75.5839912,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,50%,50%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-03
"GUAYACANES, Apartamento en Venta en Ciudad del Río, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/guayacanes-apartamentos-en-venta-en-ciudad-del-rio-medellin/10345661,10345661,https://d3s5pkt10pk3ga.cloudfront.net/resizedImages/384x275/site/fincaraiz_service/media/listing/814c4eb2-1fe9-4b27-b5b6-5dcac39307a7/photos/814c4eb2-1fe9-4b27-b5b6-5dcac39307a7_1_True_ee306f9f-07a9-46ed-b883-e7493f077f49.jpeg,[],Desde $ 953.000.000,3 Habs. 3 Baños 96 m²,"Guayacanes, apartamento en venta en ciudad del río, medellín","Apartamento enMedellín, Antioquia",AMARILO,Llamar,"""Guayacanes va más allá de ser un proyecto residencial; es un estilo de vida inmerso en el vibrante corazón de Ciudad del Río, una zona enconstante evolución urbanística, donde el comercio, el entretenimiento, la gastronomía y la cultura están al alcance de tu mano. Su estratégica ubicación cerca de las arterias principales de la ciudad, como la Autopista Sur, la Avenida Regional, la Av. Los Industriales, Calle 30 y la Avenida el Poblado, garantiza un acceso rápido y conveniente. Las áreas comunes de Guayacanes están diseñadas para toda la familia e incluyen piscinas, zonas húmedas, una cancha de pádel, entre otros.""",[],6.2222132931876,-75.57352978413,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,En construcción,¡Pregúntale!,30%,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,5,2026-08-03
"Apartamento en Venta en Lalinde, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-lalinde-medellin/193640912,193640912,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a04bdb5cefc7_infocdn__gr1989032620260416042652jpeg.jpeg,[],$ 1.250.000.000,1 Hab 2 Baños 100 m²,"Apartamento en venta en lalinde, medellín","Apartamento enMedellín, Antioquia",FARO PROPIEDAD RAIZ SAS,Llamar,"Moderno apartamento dúplex de 100 m² ubicado en Lalinde, dentro de un edificio icónico diseñado por Obranegra, reconocido por su arquitectura contemporánea y atención al detalle. El apartamento se destaca por su diseño limpio y sofisticado, con acabados de alto nivel, excelente iluminación natural y una atmósfera moderna y elegante. Se vende amoblado con muy buen gusto, listo para seguir generando ingresos.En el primer nivel cuenta con sala–comedor, cocina abierta, baño social y un balcón de muy buen tamaño con vista verde, que conecta perfectamente el interior con el entorno. Su distribución tipo dúplex aporta privacidad, funcionalidad y una experiencia de vivienda muy atractiva tanto para residentes como para huéspedes.Su ubicación es simplemente WOW: a pasos de Provenza y de la Avenida El Poblado, rodeado de restaurantes, cafés y vida urbana de alto nivel. El edificio cuenta además con café–coworking, un valor agregado muy atractivo para rentas. Permite rentas desde 15 días y actualmente se encuentra rentando USD 2.500 mensuales, lo que lo convierte en una oportunidad ideal para inversión de corta y media estancia en una de las zonas más apetecidas de Medellín.",[],6.2120590898524,-75.565615051892,,,,,,,,,,,,,,2026-08-03
"Local en Venta en El velodromo, Medellín",https://www.fincaraiz.com.co/local-en-venta-en-el-velodromo-medellin/194059703,194059703,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6ce50d9b851_infocdn__09h8c06itiehiikrubgamjfwylo5uvgffo8xtyjepng.png,[],$ 385.000.000,1 Ambiente 1 Baño 38 m²,"Local en venta en el velodromo, medellín","Local Comercial enMedellín, Antioquia",William Alejandro Posada Gil,Llamar,"Venta Local comercial en Velódromo.Ubicado en el dinámico sector de Velódromo en Medellín, este local comercial en primer piso representa una excelente oportunidad de inversión en una zona con alto flujo peatonal y gran proyección.Actualmente se encuentra rentando por un valor de $2.800.000, lo que permite generar ingresos desde el primer momento.Su ubicación estratégica cerca de la estación del metro La Floresta, el Estadio Atanasio Girardot, colegios y universidades, garantiza constante movimiento de residentes, estudiantes y visitantes. Además, el local hace parte de un edificio orientado a rentas cortas, lo que incrementa la actividad comercial del sector y fortalece su potencial de valorización. Con fácil acceso a transporte público y rodeado de servicios, este inmueble combina ubicación, estabilidad en ingresos y alta demanda en el occidente del Valle de Aburrá.",[],6.2511217,-75.5966714,,,,,,,,,,,,,,2026-08-03
"Casa en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/casa-en-venta-en-el-poblado-medellin/194058103,194058103,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6cb435a3360_infocdn__gr-casa-en-venta-o-arriendo-de-31-1758318752-4979-3594jpeg.jpeg,[],$ 2.000.000.000,4 Habs. 6 Baños 315 m²,"Casa en venta en el poblado, medellín","Casa enMedellín, Antioquia",GUILLERMO DUQUE INMOBILIARIA S.A.S,Llamar,"Magnífica casa en venta o en Arriendo. Está Ubicada en la transversal inferior, empezando a subir la loma de La cola del zorro. Es una casa bastante amplia con espacios muy privados, sus cuatro habitaciones independientes. Posee cada una su baño y su vestier. Tiene un parqueadero amplio hasta para seis carros, de los cuales tiene parqueadero cubierto para dos carros motos y mucho más. Tiene Buena Vista desde la casa. Está muy fácil de remodelar a su gusto. Posee espacios grandes dentro de la misma casa como terraza y zonas verdes. La urbanización posee piscina, gimnasio, cancha de squash, salón, Social y Porteria, 24 horas. aprovecha esta gran oportunidad. $2.000.000.000 dos mil millones de pesos.",[],6.2078548451976,-75.550119452177,,,,,,,,,,,,,,2026-08-03
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193754864,193754864,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a3e8f5ebdef4_infocdn__a274b05f-f7e4-43c1-ae4f-5e04089d3c74.jpeg,[],$ 1.150.000.000,3 Habs. 3 Baños 165 m²,"Apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",Gestión Inmobiliaria,Llamar,"Excelente apartamento de 165 metros remodelado con áreas amplias e iluminado, cuenta con 3 alcobas amplias, 3 baños modernos terminados de lujo, sala comedor amplia, balcón con excelente vista a zonas verdes, cocina integral moderna amplia, zona de ropas, todas alcobas con closet y la principal con Vestier. dos parqueaderos privados y un cuarto útil.  Este apartamento se encuentra en conjunto cerrado con portería 24 horas, ascensor, piscina, juegos infantiles, zonas verdes. muy cerca del centro comercial mall plaza, excelente rutas de transporte, muy cerca de restaurantes, bancos, zona rosa del poblado. admon$1.126.504.  ***",[],6.2123662,-75.5597196,,,,,,,,,,,,,,2026-08-03
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193974533,193974533,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a63c2263a5ea_infocdn__picture-85486f0f5ddb46fdb006561fed0195dcjpg.jpg,[],$ 970.000.000,3 Habs. 3 Baños 115 m²,"Apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",Tu360Inmobiliario,Llamar,"Se vende un apartamento de 115 m2 en la exclusiva zona de Alejandría, Medellín. Con tres habitaciones, cada una con baño privado y vestidor, además de un baño social y habitación de servicio. Destaca su amplio balcón con vistas arboladas, cocina abierta y estilo moderno. El edificio cuenta con ascensor, cámaras de vigilancia, turco, salón social y zonas verdes. Dos parqueaderos paralelos y un cuarto útil completan la oferta. Excelente ubicación a solo dos cuadras de la Milla de Oro, cerca de Oviedo y la Universidad Eafit. Zona tranquila y segura. Ideal para quienes buscan comodidad y calidad de vida en una de las mejores zonas de Medellín.",[],6.2034815,-75.5716589,,,,,,,,,,,,,,2026-08-03
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193985448,193985448,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a5a81916bd84_infocdn__picture-3a3a78e27d804baaa5813abd2a104d52jpeg.jpeg,[],$ 920.000.000,3 Habs. 3 Baños 91 m²,"Apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",Tu360Inmobiliario,Llamar,"Se vende un apartamento moderno de 91,3 metros cuadrados de área total, ubicado en el Barrio Ciudad del Río, en la comuna de El Poblado. Con solo 4 años de construido, se encuentra en el piso 18 de la torre 2. Cuenta con 3 habitaciones, armarios empotrados, 3 baños, alcoba principal con baño y vestidor. Además, dispone de sala de juegos, gimnasio, piscina cubierta y descubierta, jacuzzi, sauna, cancha de fútbol, parque infantil, corredor cubierto, un parqueadero doble lineal, ascensor  y jacuzzi. La urbanización ofrece tres salones sociales, cancha de squash, gimnasio, terraza, juegos para niños, portería con vigilancia permanente y control visual de acceso a las zonas comunes. Ubicado estratégicamente cerca de clínicas, museos, restaurantes y con fácil acceso a líneas de buses y estaciones del Metro. Con vista a la zona de piscinas y al parque lineal de Ciudad del Río, este apartamento garantiza tranquilidad y comodidad.",[],6.2201141,-75.5738525,,,,,,,,,,,,,,2026-08-03
"ARRAYAN, Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/proyectos-vivienda/arrayan-apartamentos-en-venta-en-el-poblado-medellin/15018016,15018016,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6944419b3832f_infocdn__y1bqbrlyhkdpqwwukkvhp84by0jo0jeb02zsisz1jpg.jpg,[],Desde $ 558.860.000,1 Hab 1 Baño 30 m²,"Arrayan, apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",AMARILO,Llamar,"Entre tantas razones para invertir en Medellín Amarilo llega de nuevo con un proyecto de vivienda con opción de habilitación para rentas cortas: Arrayán ubicado en Ciudad del Río, una de las áreas de renovación urbana más importantes de la ciudad. Rodeado de diferentes usos como vivienda, oficinas, comercio y servicios, además cuenta con la cercanía del Museo de Arte Moderno de Medellín MAMM y de parques lineales que consolidan el desarrollo de este proyecto en una zona estratégica y de grandes calidades para vivir e invertir.",[],6.2179949,-75.5743333,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,Sobre planos,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,4,2026-08-03
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193655582,193655582,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69e6a40cea98c_infocdn__pnbjeeomyg4urpfilhknqrl4sug0ktc2uk0bwjfdjpg.jpg,[],$ 760.000.000,3 Habs. 3 Baños 101 m²,"Apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",Prointegral,Llamar,"Apartamento en venta en unidad cerrada ubicada en sector central, de fácil acceso desde vías principales, entorno muy tranquilo y de poco flujo vehicular, con conexión a rutas de transporte público y gran variedad de servicios complementarios de la zona. Cuenta con piso en cerámica, sala y comedor independiente, 3 alcobas con closet, baño en alcoba principal, baño social, cocina integral cerrada, alcoba y baño de servicio, zona de ropas, balcon, útil y parqueadero independiente cubierto. Conjunto cerrado con parques infantiles, zonas verdes, vigilancia y portería 24 horas y circuito cerrado de TV. Inmuebles sujetos a verificación de disponibilidad.",[],6.2060607,-75.575702,,,,,,,,,,,,,,2026-08-03
"Casa en Venta en Las palmas, Medellín",https://www.fincaraiz.com.co/casa-en-venta-en-las-palmas-medellin/193258038,193258038,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.69a9c25b45f1e_infocdn__gr757553620251220072615jpeg.jpeg,[],$ 13.500.000.000,6 Habs. 10 Baños 13500 m²,"Casa en venta en las palmas, medellín","Casa enMedellín, Antioquia",TORO ASSET CAPITAL,Llamar,"Venta de casa en Las Palmas, MedellínÁrea del lote: 13.500 M2Área construida: 1.800 M2A pocos minutos del Aeropuerto Internacional José María Córdoba, una deliciosa temperatura promedio todo el año de 23° grados centígrados, excelente vista de la ciudad de Medellín.6 Suites, 11 baños, pisos en mármol de la mejor calidad, gimnasio dotado, sauna, jacuzzi, turco, piscina infinity, bar, Billar Pool, 2 habitaciones para empleados, 3 cuartos útiles, parqueadero cubierto para 8 vehículos,Circuito cerrado de videovigilancia, 2 porterías (Una portería de la Parcelación con vigilancia 24 horas y otra portería privada solo para esta casa), domotizada (Control de la casa vía internet).$13.500.000.000",[],6.1915517,-75.5473556,,,,,,,,,,,,,,2026-08-03
"Apartamento en Venta en Las palmas, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-las-palmas-medellin/193858375,193858375,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a28a3c2667bb_infocdn__ywmxvcg2vrshvl6gf2fj5v7jfdn5yandzaex4bwcjpg.jpg,[],$ 745.000.000,2 Habs. 2 Baños 76 m²,"Apartamento en venta en las palmas, medellín","Apartamento enMedellín, Antioquia",John F. Rodriguez Propiedad Raíz,Llamar,"Exclusivo apartamento para estrenar ubicado sobre la vía Las Palmas, en uno de los sectores de mayor valorización y proyección de Medellín, muy cerca al Club Campestre Ejecutivos, con una ubicación estratégica que permite fácil acceso al túnel de Oriente, aeropuerto José María Córdova, El Poblado, centro de Medellín y centro comercial San Diego. Ubicado en piso alto, este moderno apartamento ofrece una vista simplemente imponente hacia el norte y sur de la ciudad, donde cada atardecer se convierte en un verdadero espectáculo. Cuenta con un área de 76.81 mts², distribuidos en dos cómodas alcobas, amplios espacios interiores, excelente iluminación natural, moderna cocina abierta y acabados contemporáneos que brindan confort y elegancia. La unidad residencial está conformada por modernas torres de 25 pisos y ofrece completas zonas comunes pensadas para disfrutar en familia: piscina, jacuzzi, sauna y espacios ideales para el descanso y la recreación. Además, el inmueble incluye parqueadero privado y cuarto útil. Una excelente oportunidad para vivir o invertir en un sector exclusivo, moderno y con alta valorización, rodeado de naturaleza, tranquilidad y excelente conectividad. PROPIEDAD SUJETA A DISPONIBILIDAD. CITA PREVIA. CÓDIGO WEB AP117.",[],6.2229668,-75.5615022,,,,,,,,,,,,,,2026-08-03
"Apartamento en Venta en El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193508945,193508945,https://cdn4.fincaraiz.com.co/repo/img/th.outside384x275.6a6e705a3e217_infocdn__a1a37a63-dffe-4c45-af4f-c12d4b4439fejpg.jpg,[],$ 980.000.000,3 Habs. 2 Baños 158 m²,"Apartamento en venta en el poblado, medellín","Apartamento enMedellín, Antioquia",Engel & Völkers,Llamar,"Apartamento con balcón disponible para venta en El Campestre, El Poblado. A su ingreso tenemos un amplio, iluminado y ventilado espacio donde encontramos, sala y comedor, le sigue la cocina tradicional, con zona de ropas y cuarto y baño de servicio. En la zona privada, las tres habitaciones, la principal con baño en suite y wal-kin closet, las otras dos habitaciones comparten el baño, el estudio se encuentra en el centro de las habitaciones y posee un balcón con vista a los jardines de la unidad.Este apartamento cuenta con parqueadero doble lineal y cuarto útil.  La unidad tiene parqueadero de visitantes y portería inteligente.",[],6.1845135,-75.5677661,,,,,,,,,,,,,,2026-08-03
